message,answer
капитан !,"ура , ура капитану пену !"
они подавали много сосисок в кукурузном хлебе .,мы никогда не ели ничего из этого .
мистер коммодор !,мистер рэндалл !
"вот , видите ? "" диснейленд "" .","у меня был образ в голове места , где , знаете , иисус гонял на осле ."
"не знаю , чего ты так расстроился .","я знаю , ты не из - за меня так реагируешь ."
чем не фальшивка ?,крупнее .
ты перестанешь думать о своем эго и начнешь думать об этом деле ?,а о чем я должна думать ?
встань .,"давай , вставай ."
мы понравились друг другу .,"да , хорошие ."
ты всегда уважала отца .,"не вмешивай моего отца , он был святой , я - нет ."
иди умойся .,он сейчас придет .
включая весь клан бодри .,"так , начинаем сначала ."
"никогда не покидай меня , марк лилли .",я не оставлю своего брата .
лгун .,я не лгун .
прекрати тявкать и дай мне кружку воды .,мам .
я не прошу забыть меня потому что я бы тебя не забыла .,"нет . "" я не забыла . """
"хотелось бы знать , почему .",потому что ты натурал .
куда ты идешь ? куда ты идешь ? спрашивают ласточки .," я сказал тебе .	neutral	0.7238383981
179837314852973	если в небе полно птиц , то какое тебе дело	какой огонь горит в аду .	куда ты идешь ? куда ты идешь ? спрашивают ласточки .	2	куда глаза глядят , лишь бы подальше от тебя !	good	0.8069441697
179837314852973	если в небе полно птиц , то какое тебе дело	какой огонь горит в аду .	куда ты идешь ? куда ты идешь ? спрашивают ласточки .	3	в магазин красок .	good	0.6205245528
179837314852973	если в небе полно птиц , то какое тебе дело	какой огонь горит в аду .	куда ты идешь ? куда ты идешь ? спрашивают ласточки .	4	я не иду на карнавал .	bad	0.8611939504
179837314852973	если в небе полно птиц , то какое тебе дело	какой огонь горит в аду .	куда ты идешь ? куда ты идешь ? спрашивают ласточки .	5	к своему парню .	good	0.8701011522
179855243974241			нет , юный чародей , ведь всё , что вы хотели создать , стало явью .	0	а принцесса до сих пор слоняется по миру .	bad	0.9410889569
179855243974241			нет , юный чародей , ведь всё , что вы хотели создать , стало явью .	1	я не верю в эволюцию .	bad	0.9720046659
179855243974241			нет , юный чародей , ведь всё , что вы хотели создать , стало явью .	2	мы завершили цикл .	good	0.8479177995
179855243974241			нет , юный чародей , ведь всё , что вы хотели создать , стало явью .	3	 я ждал этого момента . """
"папа не всегда говорит разумные вещи , но в этом случае он был прав .",отец прав .
"ты же не думаешь , что я тебя кину ?","я думаю , ты можешь сделать то , что ты хочешь ."
неужели .,ага .
"я придумал этот логотип , украсил им доску , и так все и началось .",у этого действия есть название .
что ж .,ничего .
там будет заварушка .,реванша не будет !
никаких гадостей .,"говори , гадина ."
что ты здесь делаешь ?,"я , ээ , ищу томми ."
"я нанял её , хренов ублюдок .",я лишь хотел слегка тебя поколотить .
я скорее буду есть стекло .,только одну бутылку .
"я сейчас буду орать ! нет , серьёзно . карта у вас ?","да , это моя карта ."
вон там !,"да , вижу ."
ты все врала !,это ты виновата !
ты никому не должен верить .,не верь никому .
"если хочешь , мы можем остановиться .","нет , нет , я хочу . хочу ."
есть там задняя дверь ?,"да , дверь ."
"и стольник наличкой снимите , ладно ?","конечно , без проблем ."
давно вернулся ?,пару дней назад .
ты выглядишь как призрак .,покажи мне лицо .
м .,б .
эй .,да ?
алло !,это осборн кокс !
"все просто , джейн .","все просто , джейн ."
это было миленько .,он был милым .
на вёсла !,а под ногами лёд .
я не могу сделать это вновь .,"я знаю , как тебе больно ."
ликёр .,бурбон .
вызывайте скорую и давайте сюда .,мне не нужна скорая .
он красивый .,очень милый .
привет,привет
"но мой план , тем не менее , единственный в котором не умирают тысячи людей .",это закон мертвой зоны .
нет . . .,не . . . спорь . . . с умирающей женщиной .
"ну , он ошибается .","но с его точки зрения - он прав , а мы ошибаемся ."
я не кричал на тебя .,конечно я кричал .
хотите кофе или ещё что - нибудь ?,кофе если можно .
"прям как у хемингуэя , ха ?","да , это все моё ."
"вы не можете . . . пожалуйста , вы не можете ей ничего из этого рассказывать . не можете рассказать никки об этом .",здесь нечего рассказывать .
"ладно , дональд .",так - то лучше .
нет .,"да , не отрицай . знаешь , очень трудно сказать тебе "" нет "" , но я должна ."
"почему ты украл мои электронные почты , дейв ?",потому что храню .
"предполагаю , это как - то связано с прошлым вечером .",ни черта не помню .
место в аду ?,"это место - кухня ада "" ."
ложь твоя сломала мне жизнь,"у неё наверняка были свои причины . уверена , она пыталась защитить тебя ."
хочу написать роман о латинской америке .,"тогда он будет в копенгагене , когда его роман выйдет ."
"покажи нам , чему научился .","я не уверена , что ты готов ."
конечно .,мы с его другом подняли его .
"нет , это шеклтон","только мне кажется , что потолок движется ?"
язи .,ќет .
у него внутреннее кровотечение .,нужно срочно его прооперировать .
простая копия не создает новой личности .,но компьютерные вирусы действуют только на компьютеры .
не пытайтесь отсчитывать назад .,вам пора идти .
"чисто технически ты не можешь действительно познакомиться с ребенком . потому что ребенок не может подойти , и такой "" привет , я ребенок стив "" , или типа того","я бы не стал ничего говорить о том , что она отдает ребенка ."
я сломаю твои пальцы .,подойди .
не выпускай .,"если он отсюда выйдет , он достанет бакли ."
я должен сделать пропофол .,"нет , не надо ."
г - где ?,"именно там , где указала спенсер ."
что мне нужно делать ?,бежать .
хорошо .,что хорошо ?
"значит , вы знакомы уже 18 лет ?","да , знаком ."
"можно , я открою ему секрет ?","нет , давай ."
вот дерьмо .,"похоже , дерьмовое дерьмо !"
"и я решил , что мне надо . . .","тебе нужно это больше , чем мне ."
"но музон не говорит , кто это сделал .",насколько знает отто : он отказался и мы вышибли его с форума .
мамочка !,мамочка !
"здесь общаются , если ты несчастен непонятно почему ?","потому что ты звонил мне , когда я еще была за дверью ."
что ?,диск
почти на одном .,"прости , наоми ."
"отличный штрих , рич .","какой эдгар ? эдгар аллан по , разумеется ."
она вам перезвонит .,промах номер 43 .
"убойная доза реквизита , и наша отважная транссексуал фарфоровая , и вот вы на вершине .",бетховен .
"ты и правда думаешь , что гордон позволит кэрри пойти ко дну ради этого ?","нет , он не позволит ."
"а я ценю "" закат на таити "" на ваших ногтях .","видите ли , у меня никогда не было избытка ."
все изменилось .,"да , слишком многое изменилось ."
ванесса определенно спала с тренером .,её зовут эвридика ?
кейси .,"дейзи , точно . дейзи ."
"а я что , краду твои лучи , чувак ?","да , спасибо тебе ."
"мама , а она на небесах ?",конечно . его дала ей бабушка .
"пока . я о гольфе почти не разбираюсь , на самом деле .",пока .
а чем он занимается целыми днями ?,он играет на концерте до конца месяца .
"я сказала , замолчите !",я ничего не желаю слышать !
развестись ?,я не согласен на развод .
ты не поймешь .,пойму ?
"например , возьмем это .","пожалуй , это разумно ."
"прошу вас , я ведь поэт .",поэзии ?
выборы через 3 недели .,неделя .
о да .,он крут !
такой симпатичный мужчина . . .,и очень сексуальный .
я ничего о нем не знаю .,"значит , он серийный убийца ."
"выключите звук , ладно ?",выключите !
"я не стану в тебя стрелять , рэйлан .","спасибо , что не стреляешь в меня ."
и совсем скоро вы станете депутатом .,и он позаботится о вас .
"итак , чего бы джейми хотел , что бы ты сделала ?","что - нибудь , хоть что - то ."
поэтому я открыла магазин для фанатов всякой жути .,там была изысканная мебель .
ты о моей маме сейчас говоришь !,я ее мама !
у него крепкое рукопожатие .,"к сожалению , недостаточно крепкое ."
доуз !,!
"ну , я не осуждаю тебя .",я осуждаю тебя .
да - да .,тшшш .
кто это ?,"никто , знакомый знакомого . . ."
"разумеется , месье .","отлично , спасибо ."
"на самом деле есть еще одна награда , которую нужно объявить .","еще раз , куда вас везти ?"
"бог так возлюбил наш мир , что отдал своего единственного сына .",вера в его душе !
"я даже не думал , что ты можешь выглядеть настолько хорошо .","ну , что ж , я думаю , я похожа на своего аватара ."
"я не уверен , что это так .",а я уверен .
ок,"что "" ладно "" ?"
поговори со мной .,"поговори со мной , солнце ."
он изучает биологию .,почему бы не кончить ему на спину
я и забыла какими веселыми могут быть обеды этой семьи .,"нам нужно , чтоб люди знали , что она научила тебя принимать правильные решения ."
ээ . . .,я в морском запое сказал майклу . . . глупость такая .
теперь повернись,вперед
"вы понимаете , о чем мы говорим ?","нет , и о чем же вы ?"
"я знаю , но это не будет неразумным , если вы . . .",я предлагаю вам поддержку .
"люк , можно тебя на минутку ?","да , конечно . вы простите меня ?"
"ты прекрасно знаешь , что у нас не получается ненадолго .","знаю , и слишком хорошо ."
"я знаю , это отстой .",полнейший отстой .
хотят тебя уволить .,"нет , не уволят ."
"мам , я не знаю , почему твой телефон выключился .",мой телефон был в отключке .
"похоже , тут опасно . .",ничего страшного .
"не столько моих , но . . .","что "" но "" ?"
ты это серьезно ?,"да , серьезно ."
"знаешь , на случай , если возникнут проблемы .",огда ты за рулем - вот это проблема .
добрые дела в посёлке не проходят безнаказанно .,пусть установят засаду на дороге .
его зовут девон боско .,"да какая разница , как его звали ."
томас .,рэйчел .
не пропусти вон то наверху !,"упустить нельзя , сэр !"
"успокойся ! успокойся , хорхе !",я спокоен !
"если что , я буду вон там .",хорошо .
из - за тебя мы попали в эту ситуацию .,на меня ?
"14 дней , тюрьма города сан - висенте .",6 часов на дорогу до флориды .
"это запрещено , ты же знаешь .",я знаю тебя и я знаю отца .
мило и тихо .,"о , спасибо . но это поход для десятка шумных 13 - ти летних девчонок ."
"не так - то просто теперь , да ?","нет - нет , совсем ничего ."
"о , мне не хватало времени , и папа решил помочь .","это хорошо , пап . . . полезно ."
"ханту надо взять и сделать , так ?",как я могу это сделать ?
у неё вирус .,"хочешь сказать , её опухоль атаковал вирус ?"
у меня тоже на днях один не расплатился .,он мог убежать с деньгами .
свободнее надо быть .,"да , надо жить ."
"ой , знаешь . . .","нет , нет , я знаю ."
"нет , мы здесь на мой день рождения .",и у меня тоже 7 марта .
"ты , дженнифер , родилась в одной из них .","я знаю , как ее зовут ."
что ?,"тебя , говорю , переехать могли ."
это твое ?,"да , это все моё ."
что такое ? привет .,"спокойный график , вот что случилось ."
ты в деле или как . . . ?,в каком деле ?
мы должны дать ники умереть ?,если же мы умерли ни за что
шелли лонг,по
"я держу тебя , держу .",руки вверх !
она актриса .,теперь она режиссер .
отделить меня от общества .,например ?
да .,зачем нам надо жениться ?
"ей очень жаль , но у нее дела , поэтому я отвезу тебя в участок .",а я так хотела вас познакомить .
. . . ты уже можешь выслушивать истории из - за семи морей .,слушай
ты будешь в порядке .,я не буду в порядке .
да .,что ?
"не знаю , о каком докторе речь .","а будто вы не знаете , ваш племянник ."
он даже не похож на свою фотографию .,"ну , а как пол должен выглядеть ?"
не преступление .,"верно , совершено преступление ."
ты на самом деле в хорошем настроении .,"у меня довольно хорошая утро , после очень хорошего вечера ."
"я что , сделал что - то не так ?","нет , нет , ты не сделала ничего плохого ."
чем это я полезен ?,о должности
"джимми , просто сделай .",да я . . . делаю . . .
"эй , смотри на меня .",я не дам им застрелить тебя .
мы не должны терять надежду .,ещё как должны .
"я и не знал , что он курил .",он видел тело в морозильнике .
"ты та , кто будет целовать её и заразит всех нас .","а если не будете , она тоже умрет ?"
ладно .,вот и славно .
мои дети тебе благодарны .,чьи дети ?
по совместной жизни .,вместе .
ты правда так думаешь ?,"абсолютно , абсолютно уверен ."
так ты и есть крутой друг - писатель ?,"я тот , кем всегда был ."
"о , моя зоя . . .",когда мы можем увидеть ее ?
"но вы были так сердиты на меня , и правильно . я был зол на вас , но это в прошлом .","а теперь подумайте , что это может сказать мне о вашем характере ?"
с удовольствием .,опять мне с ним работать ?
"да , магний .",пей ещё мою кровь .
"когда ему что - то нужно , он этого добивается .",мы должны доверять ему .
"к сожалению , у меня через неделю операция , и я просто хочу . . . удостовериться , что дело рассмотрено .",без крови и без операции . . .
"как , сэр ?","твоим "" вы были правы , сэр "" ."
насладиться .,сожми и расслабь .
пока не оформим наши отношения,кто сказал что - то про отношения ?
он хороший парень .,"конечно , хороший ."
почему на тебе ?,"потому что он мой король , и я поклялся ему в верности ."
вы давно работаете в этой области ?,я социальный работник .
да . . . ага .,"ладно , больше ."
я не отдам её властям .,не отдавай .
"да , роджер придумает , что нужно делать .",заставьте его признаться и запишите всё на диктофон .
а как ты ?,я хорошо .
в следующий раз .,потом ?
впервые за долгое время .,это удивительно .
"зак , ты будешь пациентом .",я буду слугой .
уровень доступа активирован .,"он сломал управление , я не могу остановить это ."
не вкусно - то чё !,ты не должна была это есть !
"они способны на то , чего не могут вампиры .","и они никого не спрашивают , кроме их собственного биологического приказа выжить ."
"а потом мы сбросили цену до $50 , 000 .",пятьдесят миллионов за безделушку ?
в шкафу пусто .,нет ее и в ящиках .
"итак , у меня серьёзные проблемы .","из - за того , что медь режем ? нет ."
только не моран .,адам !
"извини , это единственная свободная и пустая комната .",когда - нибудь здесь будет мастерская .
"свидание с черным парнем не сделает тебя чернее , кей .","может быть . ты будешь выглядеть как гей , но только в униформе ."
это не о тебе .,а о ком ?
я не могу смотреть на это .,ладно .
мы репетируем сцену шесть .,"а разве нам не нужно больше участников , чтобы в нём участвовать ?"
"нет , я подумываю о чем - то более традиционном .",неплохая идея .
"как вы знаете , он строго засекречен .",знает ли управляющий ?
ладно .,"ну , что , поговорили ?"
давление ?,да .
да . да . мы должны разделиться и встретиться позже .,"нет , не пойдёте ."
"ну , в каком - то смысле все маги воздуха - одна семья .","он часть семьи , квинтус !"
она любит твой мозг .,она любит твой мозг .
вы хотели поговорить со мной ?,о чем ты должен поговорить ?
"эй ! ну , приятель , здорово .",присаживайся .
погоди .,назад .
я научу тебя .,"ты спрашиваешь его , где деньги"
"министр , кардинал . . .",вице - президент . . .
капитан !,капитан джек воробей .
"меняю отель , мадам .",приготовьтесь !
именно .,"но он был полной противоположностью парней , с которыми я обычно встречаюсь ."
"что бы ни случилось , ни звука .","это ничего , если ты боишься ."
треть нашей группы за один день .,"обычно это два дня , но я позволил ему перенести один с прошлого года ."
дай подумать .,уверен ?
"я бы не говорил , если бы это не было так важно .","сказал , что решил не продолжать это дело ."
я - жертва .,настоящей жертвы .
очень приятно познакомиться с вами .,мне тоже очень приятно познакомиться с вами .
"ну , она не говорила , что я должен быть дома один .",она хочет поговорить с тобой .
но я получил степень магистра экономики управления .,ты получил грант на альцгеймера ?
"мое , спасибо .",не за что .
капитан лэнс ?,капитан риггз .
теперь я не оставлю тебя .,"я не позволю , чтобы с тобой что - нибудь случилось ."
я тоже много чего хочу .,"тогда все будет так , как ты хочешь ."
кёртис пейн - это не шутки .,я не убивал ричардса .
эмили ?,эмили !
вот почему он такой милый .,потому что я сказал ему убраться в комнате .
"я пришел со списком альтернативных подозреваемых . . . тех , кто заинтересован в смерти конгрессмена .","это практически просьба казнить тех двоих , кто изнасиловали гэб ."
я муж .,предупреждать надо .
нет .,"что значит , "" нет "" ?"
правда !,неправда .
"хм , а почему не ты ?",потому что я ударил его .
ну . . . это что - то новенькое .,"послушайте , мы же веселиться пришли ."
это ненадолго .,не стоит об этом думать .
"эй , я тут вообще не при чем .",ты должна остаться здесь .
если это поможет тебе успокоиться .,ты больше ничем не поможешь .
вы не обязаны это делать .,"я , по существу . . . просила вас этого не делать ."
а вещей было много .,у меня тоже есть .
я опаздываю на дежурство в клинике . держи .,кто - то должен отвезти миссис гарднер !
"ты помнишь , во сколько ты покинул дом ?","в шесть , половину шестого прошлого вечера ."
"что , если он устал от своей забавы дурачить людей , которые его любят , просто чтобы чувствовать своё превосходство .","или любви , или сочувствия ."
в каком году вы закончили ?,не закончил .
"как насчет этого . анджела напечатает изображение с плаката на футболке , которую будет носить оскар .",это будет неплохо .
прибавить ходу !," о есть сегодн€  сегодн€ днєм "" ."
"да , и людям это понравилось .",отлично .
что вы делали до часу ночи ? я же сказал .,около двух часов ночи .
ты о чём ?,я о предложении женевы .
 раскаяние покупателя . ,"видать , она часто это повторяет ."
это - ваша жена .,"я не знаю , о чем вы говорите ."
самым лучшим для тебя будет держаться подальше .,"с чего вдруг , глупости какие , это важно для тебя ."
"никогда не покидай меня , марк лилли .",я никогда не покину тебя .
пытаешься от меня избавиться ?,я пытаюсь отправить тебя в путешествие .
ладно .,спасибо .
вы можете поставить рядом корову .,и корову !
он хрупкий .,"идиот , на нём пуленепробиваемый жилет !"
"но , бен , у меня больше нет денег .","нет браслета , значит должны быть деньги ."
"мне было 11 лет , когда я впервые убил человека .",я не убивал снова в течении 9 лет
что ?,сворачивай здесь .
а вчера вечером вроде очень даже интересовался .,я о тебе тоже несколько недель ничего не слышал .
никто не хотел приходить на твою вечеринку !,"эли , это не просто вечеринка ."
"да , спасибо .",пожалуйста .
нужна ваша помощь .,понимаете ?
я тебе позвоню .,после вы говорили только по телефону ?
розовые .,я хотела сказать желтые .
я пас .,я тоже .
ну и . . . какая жалость !,"мёртв , я ?"
да ладно !,разве тебе не любопытно ?
ой да ладно !,"ну ладно , ладно ."
в нашем присутствии .,а потом навестим и ее .
что случилось ?,ничего не случилось .
отдай ! да ничего у меня нет в руке !,отдай !
давай уйдем отсюда .,уходим .
хорошо .,в нем указаны два наследника .
снег такой густой . он покрывает дом и двор .,лишь небо - больше ничего в бездне взгляда твоего .
"ранее в сериале "" ганнибал "" . . .",здесь вы это и сделаете .
"спасибо , друг !","обращайся , дружище ."
там развивается главная интрига .,быстрее туда .
"трикси , что ты делаешь ?",практикуюсь .
почему они не слушали ?,потому что ты их уже произнес .
это была не моя вина .,"нет , не твоя . это моя вина ."
"и вновь ты доказал , что ты значимый и ценный член нашей команды .","верно , а ты весьма необычный кукольный ослик ."
"да , и их обоих убили , их убийство зато решит их проблемы с налогами .",и их судьба была решена .
можно тут прервать ?,"да , можно ."
да как ты смеешь .,пенелопа ?
что ?,ничего
камилл . . .,вам тоже . уважаю .
это . . .,да .
медведь в лагере !,"а , медведь !"
так я ещё и смешная ?,"нет , нет ."
"я рада , что смогла изменить ситуацию .",что происходит ?
адский дом ?,"нет , маленький дом ."
он чемпион .,"это не обязательно означает , что он лгал сейчас ."
"но я не хочу , чтобы вы сюда приходили одни .",отойдите от двери .
оно сейчас в багажнике .,он забрал ключ от лифта и рацию .
сколько раз тебе повторять ?,я сбилась со счёта .
советую отбросить мужское . . . тщеславие .,"он лжец , джоанна ."
мне всё также нечего сказать тебе .,"если не скажешь мне сейчас , можешь вообще не говорить ."
"может и простит , но сначала грехи нужно искупить .",бог - это прощение
"нет ! может , с ними что - то не так .","вообще - то , может ."
"эй , где здесь распродажа ?","где - то здесь , в лондоне ."
к нему домой .,к нему домой .
"так же , как похищение и убийство .",убийство с использованием маминого дара .
какой жёсткий диск ?,за миллион проданных дисков .
мама не разговаривает со мной со свадьбы .,но не говоришь с папой .
это был обычный день в эврике . . .,мне очень жаль .
"ждём до ночи , а потом отчаливаем .","нет , мы не отправимся ."
эта ферма - мой дом .,твой дом ?
я . . . тебя раньше нигде не встречал ?,"нет , думаю , нет ."
я ухожу спать .,"доброй ночи , ваше высочество ."
отлично .,"я знал , что твой переезд ко мне был не такой уж плохой идеей ."
"это , определенно , особое место для него .",он охотится днем .
фрейд умер в возрасте 83 - х лет . и не ответил на один вопрос :,"гвендолин родилась в тот же самый день , что и шарлотта ."
он голый !,он даже хромал .
продолжай .,что продолжать ?
"о , моя зоя . . .",твоя .
"ах , вы уже сотню раз , нас спрашивали об одном и том же !","нет , он считает , что вы вполне проживёте на ваше жалование ."
"о , это напомнило мне о том , что я хотела обсудить .","обсудить есть что , это уж точно ."
это ларри дэвид .,саймон !
"ты не хочешь спросить , как все прошло с эммой ?","нет , хочу ."
клёвое телешоу !,ага !
мой день рождения не сегодня .,именно сегодня .
которых любит .,не любит .
как он ?,он . . . неплохо .
"это не сработало , но достойно пятерки с плюсом за находчивость .",но цена . . . была слишком высокой для некоторых .
тебе нужна помощь ?,"да , представь себе , нужна ."
"кулаки вверх для "" против "" . вверх .",вы хотите умереть ?
байрон у меня в крови .,забавно .
я собиралась .,"просто иди и оставайся на связи , поняла ?"
да брось .,"ты же знаешь , что я не верю ."
"первые несколько дней было трудно но теперь , когда ему стало лучше , я в порядке .",чувствуешь себя лучше ?
уходи !,не уйду !
мужчины,женщины ?
как хватает духа !,как хорошо !
"ну же , поближе .",двадцать семь !
"то , что ты даёшь мне советы - смешно .",смешно говорю ?
а вы кто такие ?,мы - библиотекари .
"но от одна клятва , которую вы точно не сдержали .","и мы оба знаем , она бы не отняла чью - то жизнь ."
дикая природа отделяет нас от зверей ! она и этот грузовик !,"выбирайтесь , пока пещера не обрушилась !"
прочь !,не могу поднять .
и раздельные кровати .,и диван !
"все , о чем я прошу , -","все , о чем я прошу . . ."
"давай , фил .",нанеси последний удар .
можно потрогать твой живот ?,"руки на стол , пожалуйста ."
памяти ?,!
"ну я решил , что вся семья куин и их чековые книжки должны здесь присутствовать .",это здорово .
меня внесут в чёрный список .,да я же так опоздаю на встречу .
"да , мэм .",я возьму капучино .
"о , да .",но потом ещё вернёмся к этой истории с порогом .
карпов !,"хочешь арахис , карпов ?"
думаю придётся убить их всех .,"нет , не убьёшь ."
нет !,. . что нет ?
с праздником св .,с рождеством .
"вот , видите ? "" диснейленд "" .", скорее  .
"только скажи что , и я сделаю это .",у тебя получиться .
"да , но мы доказали , что сэм был на крыше той ночью .","в тот момент , когда он на вас прыгнул ?"
"детектив чалмерс , мистер бёртон не проиграл ни одного дела .",он выиграл множество сложных дел .
"мой тренер по йоге сказал , чтобы я устранил из жизни все источники стресса .",не останавливайся из - за меня .
ты довольна ?,я в восторге .
"да нет , я на самом деле не полицейский .",ты симпатичный .
"так , мы снова при делах .",ћы следом за вами !
как тут оно ?,как в кукольном домике !
"я хорошо знаком с лодками , хозяин .",он назначил тебя лейтенантом и главой отдела безопасности .
"моя тюрьма - моё прошлое , твоя - твои моральные принципы .",оно стало твоим настоящим .
"ћожет быть , € не видел .","значит , мы снова возвращаемся к поиску ."
заткнись ты !,я не заткнусь .
я клянусь . . .,я клянусь .
давай теперь приходить сюда каждый год,будем
ты учился . . . у будды ?,"да , вместе учимся ."
пошли .,будьте наготове .
шучу .,шучу .
а мои глаза . . .,"я ослеп , отец !"
"господи , как ты можешь смотреть по телевизору всю эту чушь ?","ты что , забыл про убитого ребенка из 400 - го квартала ?"
уильям отвез образец из дома .,я сам найду дорогу .
знаешь что ?,я не хочу знать .
ноттингемский .,ноттингемский .
ты железнодорожник . член руководства .,хочешь вырасти бездельником ?
ясно .,"тебе ясно , а другим нет ."
"когда он подрастёт и окрепнет , мы к этому вернёмся , но до тех пор ни одна женщина , кроме тебя , не должна называть его сыном .",и не позволит ему удрать с другой женщиной .
кто этот человек ?,никто .
потому что однажды я заставлю вещи работать и это станет действительно прибыльным делом .,и тогда ты снова уедешь .
"касл , дело не в тебе .",в чём же ?
"о , мадмуазель скотт !","шериф , помощник ."
люблю тебя .,и я люблю тебя !
пошли возьмем нашего двойника .,пойдем .
спасибо .,не за что .
"конечно , есть .","представь , если бы ты был невидимым ."
"ты , черт возьми , прав он боец",но с таким отцом как у него . . у ребенка никогда не было шанса
ты тоже выходи .,сейчас .
энди . . .,где он ?
"такси с шефом проезжает в ту сторону в 16 : 50 , а затем спустя 10 минут возвращается пустым обратно .",мы ещё можем проверить на отпечатки регулятор сиденья .
уже теплее ?,да .
тебе нужно отпустить сцепление .,мне нужно понять это .
"смущает то , что никто даже не пытался это скрыть .","ну , я не знала , что она не хотела этого знать ."
где все ?,ушли .
простите .,ты меня прости .
возьмём и твои любимые дыни .,и леденцы .
что случилось ?,ничего не случилось .
оглядывается ?,ага !
я просто пришел тебя повидать .,я сказал тебе не приезжать .
ладно .,"но я позвоню , проверю ."
а кто же ещё ?,"ты и я , конечно ."
"нет , не могут .","да , да , да , да !"
не отпускай .,никогда .
сейчас молчишь ты !,а ты болтаешь !
у полиции что - нибудь есть ?,только помехи .
"я не помню , чтобы ты жаловался .",и я никогда не лгал тебе .
да ладно .,"хотите , знать ?"
я слышал они боролись .,они прямо придерживались своих историй .
горацио . . . не сдавайся .,"ну же , шеф ."
тот телефонный звонок ночью был . . . он был из больницы .,было не сложно после его смерти - то . и зачем звонил ?
дэвид .,"нет , дэвид ."
"думаю , да .",я просто ударил вас этой штукой .
"я видел фотографии , и мне понадобится литр отбеливателя для мозга , чтобы очистить память .","и пару виски , чистого ."
а выражение ее лица . . . она так сильно хотела жить .,она умерла от испуга .
я знаю кое - кого кто тебя подвезет .,и я тоже знаю кто это .
"да , через три .",встретимся там .
я уехал сразу после тебя .,второй раз не отпущу .
ни малейшей .,"тогда , выключи свет , красавчик ."
"значит , ты слышал , что тут случилось ?","не , я не знаю , чувак ."
"он сказал , что спрятал это здесь у всех на виду .","сегодня утром он всё бросил , в том числе пистолет , из которого он убил парамедиков , хотя он знал , что мы можем его найти ."
